CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
FL-601,Ft Lauderdale/Broward County CoC,3154.0,834.0,1619.0,2453.0,701.0,2451.0,594.0,1220.0,1814.0,637.0,703.0,240.0,399.0,639.0,64.0,178.0,60.0,95.0,155.0,23.0,222.0,59.0,163.0,2007
FL-602,Punta Gorda/Charlotte County CoC,730.0,64.0,386.0,450.0,280.0,635.0,34.0,328.0,362.0,273.0,95.0,30.0,58.0,88.0,7.0,46.0,15.0,29.0,44.0,2.0,273.0,0.0,273.0,2007
FL-603,"Ft Myers, Cape Coral/Lee County CoC",2382.0,162.0,271.0,433.0,1949.0,1958.0,109.0,265.0,374.0,1584.0,424.0,53.0,6.0,59.0,365.0,123.0,10.0,1.0,11.0,112.0,147.0,54.0,93.0,2007
FL-604,Monroe County CoC,1121.0,265.0,212.0,477.0,644.0,1017.0,240.0,170.0,410.0,607.0,104.0,25.0,42.0,67.0,37.0,37.0,13.0,14.0,27.0,10.0,289.0,120.0,169.0,2007
FL-605,West Palm Beach/Palm Beach County CoC,1766.0,345.0,382.0,727.0,1039.0,1302.0,157.0,157.0,314.0,988.0,464.0,188.0,225.0,413.0,51.0,150.0,59.0,74.0,133.0,17.0,329.0,34.0,295.0,2007
FL-606,Naples/Collier County CoC,484.0,200.0,165.0,365.0,119.0,383.0,166.0,103.0,269.0,114.0,101.0,34.0,62.0,96.0,5.0,32.0,9.0,21.0,30.0,2.0,50.0,0.0,50.0,2007
GA-500,Atlanta CoC,6840.0,2386.0,2339.0,4725.0,2115.0,5622.0,2027.0,1524.0,3551.0,2071.0,1218.0,359.0,815.0,1174.0,44.0,379.0,115.0,250.0,365.0,14.0,1196.0,583.0,613.0,2007
GA-501,Georgia Balance of State CoC,10255.0,916.0,1055.0,1971.0,8284.0,5028.0,616.0,475.0,1091.0,3937.0,5227.0,300.0,580.0,880.0,4347.0,1550.0,142.0,166.0,308.0,1242.0,657.0,278.0,379.0,2007
GA-503,Athens-Clarke County CoC,464.0,192.0,141.0,333.0,131.0,304.0,98.0,83.0,181.0,123.0,160.0,94.0,58.0,152.0,8.0,53.0,31.0,19.0,50.0,3.0,158.0,74.0,84.0,2007
GA-504,Augusta-Richmond County CoC,489.0,276.0,175.0,451.0,38.0,373.0,243.0,96.0,339.0,34.0,116.0,33.0,79.0,112.0,4.0,40.0,13.0,26.0,39.0,1.0,90.0,90.0,0.0,2007
GA-505,Columbus-Muscogee CoC,540.0,140.0,48.0,188.0,352.0,413.0,98.0,48.0,146.0,267.0,127.0,42.0,0.0,42.0,85.0,49.0,15.0,0.0,15.0,34.0,69.0,38.0,31.0,2007
GA-506,Marietta/Cobb County CoC,537.0,125.0,204.0,329.0,208.0,346.0,74.0,86.0,160.0,186.0,191.0,51.0,118.0,169.0,22.0,69.0,20.0,41.0,61.0,8.0,154.0,45.0,109.0,2007
GA-507,Savannah/Chatham County CoC,514.0,232.0,112.0,344.0,170.0,435.0,195.0,80.0,275.0,160.0,79.0,37.0,32.0,69.0,10.0,37.0,16.0,11.0,27.0,10.0,160.0,0.0,160.0,2007
GU-500,Guam CoC,725.0,33.0,70.0,103.0,622.0,254.0,14.0,39.0,53.0,201.0,471.0,19.0,31.0,50.0,421.0,120.0,5.0,9.0,14.0,106.0,0.0,0.0,0.0,2007
HI-500,Hawaii Balance of State CoC,2320.0,310.0,445.0,755.0,1565.0,1245.0,310.0,36.0,346.0,899.0,1075.0,0.0,409.0,409.0,666.0,296.0,0.0,121.0,121.0,175.0,553.0,18.0,535.0,2007
HI-501,Honolulu City and County CoC,3750.0,729.0,1228.0,1957.0,1793.0,2090.0,344.0,410.0,754.0,1336.0,1660.0,385.0,818.0,1203.0,457.0,438.0,115.0,208.0,323.0,115.0,225.0,114.0,111.0,2007
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",164.0,81.0,78.0,159.0,5.0,122.0,71.0,46.0,117.0,5.0,42.0,10.0,32.0,42.0,0.0,17.0,3.0,14.0,17.0,0.0,41.0,41.0,0.0,2007
IA-501,Iowa Balance of State CoC,1529.0,463.0,877.0,1340.0,189.0,678.0,301.0,226.0,527.0,151.0,851.0,162.0,651.0,813.0,38.0,305.0,58.0,229.0,287.0,18.0,107.0,84.0,23.0,2007
IA-502,Des Moines/Polk County CoC,1041.0,308.0,634.0,942.0,99.0,704.0,243.0,367.0,610.0,94.0,337.0,65.0,267.0,332.0,5.0,105.0,22.0,82.0,104.0,1.0,159.0,100.0,59.0,2007
ID-500,Boise/Ada County CoC,581.0,336.0,136.0,472.0,109.0,410.0,295.0,12.0,307.0,103.0,171.0,41.0,124.0,165.0,6.0,57.0,17.0,38.0,55.0,2.0,26.0,4.0,22.0,2007
ID-501,Idaho Balance of State CoC,1168.0,250.0,403.0,653.0,515.0,692.0,145.0,161.0,306.0,386.0,476.0,105.0,242.0,347.0,129.0,153.0,38.0,82.0,120.0,33.0,69.0,33.0,36.0,2007
IL-500,McHenry County CoC,253.0,64.0,171.0,235.0,18.0,183.0,51.0,121.0,172.0,11.0,70.0,13.0,50.0,63.0,7.0,24.0,5.0,16.0,21.0,3.0,34.0,23.0,11.0,2007
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",705.0,313.0,318.0,631.0,74.0,381.0,208.0,116.0,324.0,57.0,324.0,105.0,202.0,307.0,17.0,114.0,26.0,82.0,108.0,6.0,149.0,119.0,30.0,2007
IL-502,"Waukegan, North Chicago/Lake County CoC",496.0,234.0,252.0,486.0,10.0,240.0,129.0,101.0,230.0,10.0,256.0,105.0,151.0,256.0,0.0,82.0,28.0,54.0,82.0,0.0,52.0,48.0,4.0,2007
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",429.0,236.0,180.0,416.0,13.0,158.0,136.0,20.0,156.0,2.0,271.0,100.0,160.0,260.0,11.0,102.0,35.0,63.0,98.0,4.0,59.0,57.0,2.0,2007
IL-504,Madison County CoC,240.0,81.0,122.0,203.0,37.0,77.0,43.0,3.0,46.0,31.0,163.0,38.0,119.0,157.0,6.0,51.0,12.0,36.0,48.0,3.0,23.0,15.0,8.0,2007
IL-506,"Joliet, Bolingbrook/Will County CoC",397.0,125.0,254.0,379.0,18.0,244.0,105.0,124.0,229.0,15.0,153.0,20.0,130.0,150.0,3.0,60.0,8.0,51.0,59.0,1.0,39.0,25.0,14.0,2007
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",434.0,167.0,169.0,336.0,98.0,335.0,149.0,88.0,237.0,98.0,99.0,18.0,81.0,99.0,0.0,30.0,3.0,27.0,30.0,0.0,183.0,85.0,98.0,2007
IL-508,"East St. Louis, Belleville/St. Clair County CoC",799.0,235.0,207.0,442.0,357.0,286.0,106.0,40.0,146.0,140.0,513.0,129.0,167.0,296.0,217.0,160.0,38.0,35.0,73.0,87.0,82.0,20.0,62.0,2007
IL-510,Chicago CoC,5979.0,2078.0,2268.0,4346.0,1633.0,3927.0,1664.0,695.0,2359.0,1568.0,2052.0,414.0,1573.0,1987.0,65.0,598.0,119.0,457.0,576.0,22.0,1018.0,334.0,684.0,2007
IL-511,Cook County CoC,1420.0,512.0,650.0,1162.0,258.0,721.0,342.0,130.0,472.0,249.0,699.0,170.0,520.0,690.0,9.0,328.0,64.0,261.0,325.0,3.0,237.0,141.0,96.0,2007
IL-512,Bloomington/Central Illinois CoC,467.0,241.0,158.0,399.0,68.0,228.0,156.0,29.0,185.0,43.0,239.0,85.0,129.0,214.0,25.0,73.0,27.0,40.0,67.0,6.0,57.0,44.0,13.0,2007
IL-513,Springfield/Sangamon County CoC,260.0,88.0,157.0,245.0,15.0,96.0,36.0,45.0,81.0,15.0,164.0,52.0,112.0,164.0,0.0,94.0,32.0,62.0,94.0,0.0,24.0,17.0,7.0,2007
IL-514,DuPage County CoC,766.0,190.0,452.0,642.0,124.0,380.0,142.0,136.0,278.0,102.0,386.0,48.0,316.0,364.0,22.0,131.0,18.0,105.0,123.0,8.0,173.0,71.0,102.0,2007
IL-515,South Central Illinois CoC,246.0,178.0,36.0,214.0,32.0,58.0,45.0,5.0,50.0,8.0,188.0,133.0,31.0,164.0,24.0,63.0,44.0,11.0,55.0,8.0,11.0,10.0,1.0,2007
IL-516,Decatur/Macon County CoC,347.0,94.0,73.0,167.0,180.0,124.0,52.0,13.0,65.0,59.0,223.0,42.0,60.0,102.0,121.0,73.0,14.0,23.0,37.0,36.0,34.0,21.0,13.0,2007
IL-517,"Aurora, Elgin/Kane County CoC",474.0,275.0,143.0,418.0,56.0,356.0,224.0,76.0,300.0,56.0,118.0,51.0,67.0,118.0,0.0,36.0,16.0,20.0,36.0,0.0,245.0,212.0,33.0,2007
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",600.0,224.0,282.0,506.0,94.0,208.0,116.0,81.0,197.0,11.0,392.0,108.0,201.0,309.0,83.0,104.0,27.0,52.0,79.0,25.0,85.0,75.0,10.0,2007
IL-519,West Central Illinois CoC,305.0,16.0,132.0,148.0,157.0,235.0,14.0,83.0,97.0,138.0,70.0,2.0,49.0,51.0,19.0,27.0,1.0,17.0,18.0,9.0,17.0,4.0,13.0,2007
IL-520,Southern Illinois CoC,870.0,562.0,234.0,796.0,74.0,416.0,276.0,82.0,358.0,58.0,454.0,286.0,152.0,438.0,16.0,123.0,83.0,34.0,117.0,6.0,159.0,113.0,46.0,2007
IN-502,Indiana Balance of State CoC,5490.0,2180.0,2282.0,4462.0,1028.0,3407.0,1436.0,1095.0,2531.0,876.0,2083.0,744.0,1187.0,1931.0,152.0,714.0,265.0,408.0,673.0,41.0,565.0,348.0,217.0,2007
IN-503,Indianapolis CoC,1868.0,691.0,943.0,1634.0,234.0,1327.0,462.0,631.0,1093.0,234.0,541.0,229.0,312.0,541.0,0.0,149.0,73.0,76.0,149.0,0.0,129.0,102.0,27.0,2007
KS-502,Wichita/Sedgwick County CoC,526.0,337.0,136.0,473.0,53.0,368.0,260.0,56.0,316.0,52.0,158.0,77.0,80.0,157.0,1.0,51.0,23.0,27.0,50.0,1.0,56.0,51.0,5.0,2007
KS-503,Topeka/Shawnee County CoC,227.0,186.0,40.0,226.0,1.0,99.0,95.0,3.0,98.0,1.0,128.0,91.0,37.0,128.0,0.0,38.0,27.0,11.0,38.0,0.0,18.0,17.0,1.0,2007
KS-505,"Overland Park, Shawnee/Johnson County CoC",234.0,86.0,61.0,147.0,87.0,60.0,9.0,8.0,17.0,43.0,174.0,77.0,53.0,130.0,44.0,50.0,23.0,17.0,40.0,10.0,12.0,3.0,9.0,2007
KS-507,Kansas Balance of State CoC,937.0,502.0,351.0,853.0,84.0,554.0,277.0,220.0,497.0,57.0,383.0,225.0,131.0,356.0,27.0,126.0,75.0,41.0,116.0,10.0,50.0,36.0,14.0,2007
KY-500,Kentucky Balance of State CoC,4316.0,933.0,1488.0,2421.0,1895.0,1503.0,455.0,316.0,771.0,732.0,2813.0,478.0,1172.0,1650.0,1163.0,849.0,144.0,365.0,509.0,340.0,186.0,113.0,73.0,2007
KY-501,Louisville-Jefferson County CoC,2587.0,1230.0,1177.0,2407.0,180.0,1641.0,965.0,496.0,1461.0,180.0,946.0,265.0,681.0,946.0,0.0,332.0,72.0,260.0,332.0,0.0,259.0,125.0,134.0,2007
KY-502,Lexington-Fayette County CoC,1158.0,503.0,609.0,1112.0,46.0,746.0,437.0,265.0,702.0,44.0,412.0,66.0,344.0,410.0,2.0,186.0,25.0,160.0,185.0,1.0,129.0,113.0,16.0,2007
LA-500,Lafayette/Acadiana CoC,631.0,159.0,298.0,457.0,174.0,305.0,70.0,144.0,214.0,91.0,326.0,89.0,154.0,243.0,83.0,104.0,26.0,53.0,79.0,25.0,47.0,16.0,31.0,2007
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",857.0,343.0,380.0,723.0,134.0,504.0,162.0,279.0,441.0,63.0,353.0,181.0,101.0,282.0,71.0,118.0,64.0,33.0,97.0,21.0,78.0,52.0,26.0,2007
LA-503,New Orleans/Jefferson Parish CoC,1619.0,335.0,655.0,990.0,629.0,801.0,243.0,261.0,504.0,297.0,818.0,92.0,394.0,486.0,332.0,262.0,33.0,126.0,159.0,103.0,220.0,60.0,160.0,2007
LA-505,Monroe/Northeast Louisiana CoC,313.0,82.0,180.0,262.0,51.0,120.0,52.0,54.0,106.0,14.0,193.0,30.0,126.0,156.0,37.0,59.0,12.0,36.0,48.0,11.0,15.0,14.0,1.0,2007
LA-506,Slidell/Southeast Louisiana CoC,434.0,101.0,102.0,203.0,231.0,171.0,41.0,25.0,66.0,105.0,263.0,60.0,77.0,137.0,126.0,83.0,21.0,25.0,46.0,37.0,42.0,15.0,27.0,2007
LA-507,Alexandria/Central Louisiana CoC,188.0,87.0,53.0,140.0,48.0,109.0,52.0,20.0,72.0,37.0,79.0,35.0,33.0,68.0,11.0,28.0,11.0,12.0,23.0,5.0,26.0,14.0,12.0,2007
LA-509,Louisiana Balance of State CoC,1452.0,281.0,861.0,1142.0,310.0,963.0,156.0,596.0,752.0,211.0,489.0,125.0,265.0,390.0,99.0,178.0,42.0,106.0,148.0,30.0,134.0,55.0,79.0,2007
MA-500,Boston CoC,5104.0,2324.0,2474.0,4798.0,306.0,2948.0,1400.0,1242.0,2642.0,306.0,2156.0,924.0,1232.0,2156.0,0.0,771.0,355.0,416.0,771.0,0.0,988.0,854.0,134.0,2007
MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC",964.0,616.0,295.0,911.0,53.0,417.0,123.0,241.0,364.0,53.0,547.0,493.0,54.0,547.0,0.0,156.0,131.0,25.0,156.0,0.0,81.0,46.0,35.0,2007
MA-502,Lynn CoC,236.0,125.0,83.0,208.0,28.0,170.0,98.0,44.0,142.0,28.0,66.0,27.0,39.0,66.0,0.0,26.0,11.0,15.0,26.0,0.0,126.0,98.0,28.0,2007
MA-503,Cape Cod Islands CoC,697.0,258.0,110.0,368.0,329.0,408.0,103.0,67.0,170.0,238.0,289.0,155.0,43.0,198.0,91.0,119.0,69.0,17.0,86.0,33.0,288.0,93.0,195.0,2007
MA-504,Springfield/Hampden County CoC,1053.0,592.0,428.0,1020.0,33.0,729.0,409.0,287.0,696.0,33.0,324.0,183.0,141.0,324.0,0.0,116.0,62.0,54.0,116.0,0.0,149.0,136.0,13.0,2007
MA-505,New Bedford CoC,390.0,148.0,208.0,356.0,34.0,309.0,78.0,197.0,275.0,34.0,81.0,70.0,11.0,81.0,0.0,23.0,19.0,4.0,23.0,0.0,78.0,78.0,0.0,2007
MA-506,Worcester City & County CoC,1302.0,755.0,513.0,1268.0,34.0,677.0,409.0,242.0,651.0,26.0,625.0,346.0,271.0,617.0,8.0,239.0,132.0,103.0,235.0,4.0,144.0,117.0,27.0,2007
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",374.0,77.0,238.0,315.0,59.0,206.0,33.0,141.0,174.0,32.0,168.0,44.0,97.0,141.0,27.0,60.0,13.0,36.0,49.0,11.0,40.0,22.0,18.0,2007
MA-509,Cambridge CoC,432.0,266.0,110.0,376.0,56.0,346.0,191.0,99.0,290.0,56.0,86.0,75.0,11.0,86.0,0.0,33.0,28.0,5.0,33.0,0.0,200.0,144.0,56.0,2007
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",934.0,566.0,253.0,819.0,115.0,419.0,169.0,135.0,304.0,115.0,515.0,397.0,118.0,515.0,0.0,184.0,142.0,42.0,184.0,0.0,167.0,61.0,106.0,2007
MA-514,Framingham/Waltham CoC,747.0,502.0,73.0,575.0,172.0,225.0,133.0,73.0,206.0,19.0,522.0,369.0,0.0,369.0,153.0,196.0,135.0,0.0,135.0,61.0,108.0,89.0,19.0,2007
MA-515,Fall River CoC,153.0,64.0,75.0,139.0,14.0,108.0,40.0,54.0,94.0,14.0,45.0,24.0,21.0,45.0,0.0,18.0,9.0,9.0,18.0,0.0,24.0,23.0,1.0,2007
MA-516,Massachusetts Balance of State CoC,2449.0,956.0,1375.0,2331.0,118.0,1163.0,379.0,685.0,1064.0,99.0,1286.0,577.0,690.0,1267.0,19.0,488.0,202.0,279.0,481.0,7.0,352.0,290.0,62.0,2007
MA-519,"Attleboro, Taunton/Bristol County CoC",292.0,62.0,167.0,229.0,63.0,167.0,18.0,89.0,107.0,60.0,125.0,44.0,78.0,122.0,3.0,39.0,13.0,25.0,38.0,1.0,45.0,5.0,40.0,2007
MD-501,Baltimore CoC,2607.0,981.0,997.0,1978.0,629.0,1653.0,751.0,619.0,1370.0,283.0,954.0,230.0,378.0,608.0,346.0,318.0,85.0,128.0,213.0,105.0,410.0,218.0,192.0,2007
MD-503,Annapolis/Anne Arundel County CoC,289.0,154.0,64.0,218.0,71.0,154.0,69.0,14.0,83.0,71.0,135.0,85.0,50.0,135.0,0.0,42.0,25.0,17.0,42.0,0.0,74.0,26.0,48.0,2007
MD-504,Howard County CoC,175.0,94.0,57.0,151.0,24.0,54.0,30.0,0.0,30.0,24.0,121.0,64.0,57.0,121.0,0.0,23.0,9.0,14.0,23.0,0.0,0.0,0.0,0.0,2007
MD-505,Baltimore County CoC,634.0,409.0,167.0,576.0,58.0,192.0,125.0,21.0,146.0,46.0,442.0,284.0,146.0,430.0,12.0,117.0,73.0,41.0,114.0,3.0,46.0,0.0,46.0,2007
MD-506,Carroll County CoC,174.0,96.0,65.0,161.0,13.0,124.0,69.0,44.0,113.0,11.0,50.0,27.0,21.0,48.0,2.0,19.0,10.0,8.0,18.0,1.0,31.0,28.0,3.0,2007
MD-511,Mid-Shore Regional CoC,311.0,95.0,44.0,139.0,172.0,200.0,51.0,24.0,75.0,125.0,111.0,44.0,20.0,64.0,47.0,32.0,13.0,6.0,19.0,13.0,63.0,0.0,63.0,2007
MD-513,"Wicomico, Somerset, Worcester Counties CoC",215.0,150.0,28.0,178.0,37.0,138.0,95.0,13.0,108.0,30.0,77.0,55.0,15.0,70.0,7.0,34.0,25.0,6.0,31.0,3.0,53.0,42.0,11.0,2007
MD-514,Maryland Balance of State CoC,2916.0,627.0,551.0,1178.0,1738.0,1091.0,369.0,261.0,630.0,461.0,1825.0,258.0,290.0,548.0,1277.0,568.0,89.0,103.0,192.0,376.0,378.0,175.0,203.0,2007
MD-600,Prince George's County CoC,1168.0,429.0,394.0,823.0,345.0,806.0,247.0,214.0,461.0,345.0,362.0,182.0,180.0,362.0,0.0,111.0,57.0,54.0,111.0,0.0,264.0,104.0,160.0,2007
MD-601,Montgomery County CoC,1139.0,529.0,487.0,1016.0,123.0,640.0,310.0,207.0,517.0,123.0,499.0,219.0,280.0,499.0,0.0,151.0,65.0,86.0,151.0,0.0,231.0,156.0,75.0,2007
ME-500,Maine Statewide CoC,2638.0,664.0,1912.0,2576.0,62.0,1136.0,451.0,637.0,1088.0,48.0,1502.0,213.0,1275.0,1488.0,14.0,502.0,74.0,423.0,497.0,5.0,97.0,67.0,30.0,2007
MI-500,Michigan Balance of State CoC,2471.0,887.0,574.0,1461.0,1010.0,1080.0,334.0,190.0,524.0,556.0,1391.0,553.0,384.0,937.0,454.0,464.0,190.0,118.0,308.0,156.0,158.0,79.0,79.0,2007
MI-501,Detroit CoC,18062.0,3399.0,1339.0,4738.0,13324.0,11913.0,2608.0,1027.0,3635.0,8278.0,6149.0,791.0,312.0,1103.0,5046.0,1520.0,258.0,128.0,386.0,1134.0,1503.0,261.0,1242.0,2007
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",865.0,374.0,244.0,618.0,247.0,513.0,292.0,124.0,416.0,97.0,352.0,82.0,120.0,202.0,150.0,97.0,23.0,31.0,54.0,43.0,122.0,42.0,80.0,2007
MI-503,"St. Clair Shores, Warren/Macomb County CoC",769.0,215.0,36.0,251.0,518.0,541.0,140.0,28.0,168.0,373.0,228.0,75.0,8.0,83.0,145.0,77.0,23.0,3.0,26.0,51.0,163.0,32.0,131.0,2007
MI-504,"Pontiac, Royal Oak/Oakland County CoC",1011.0,122.0,280.0,402.0,609.0,804.0,50.0,152.0,202.0,602.0,207.0,72.0,128.0,200.0,7.0,37.0,27.0,9.0,36.0,1.0,123.0,100.0,23.0,2007
MI-505,Flint/Genesee County CoC,354.0,180.0,33.0,213.0,141.0,257.0,114.0,24.0,138.0,119.0,97.0,66.0,9.0,75.0,22.0,34.0,22.0,5.0,27.0,7.0,27.0,10.0,17.0,2007
MI-506,"Grand Rapids, Wyoming/Kent County CoC",912.0,333.0,474.0,807.0,105.0,462.0,225.0,153.0,378.0,84.0,450.0,108.0,321.0,429.0,21.0,161.0,32.0,114.0,146.0,15.0,74.0,34.0,40.0,2007
MI-507,"Portage, Kalamazoo City & County CoC",614.0,476.0,117.0,593.0,21.0,288.0,255.0,12.0,267.0,21.0,326.0,221.0,105.0,326.0,0.0,105.0,70.0,35.0,105.0,0.0,42.0,37.0,5.0,2007
MI-508,"Lansing, East Lansing/Ingham County CoC",408.0,291.0,100.0,391.0,17.0,205.0,127.0,61.0,188.0,17.0,203.0,164.0,39.0,203.0,0.0,77.0,60.0,17.0,77.0,0.0,122.0,105.0,17.0,2007
MI-509,Washtenaw County CoC,413.0,239.0,118.0,357.0,56.0,285.0,168.0,61.0,229.0,56.0,128.0,71.0,57.0,128.0,0.0,39.0,21.0,18.0,39.0,0.0,85.0,48.0,37.0,2007
MI-510,Saginaw City & County CoC,361.0,117.0,157.0,274.0,87.0,237.0,85.0,93.0,178.0,59.0,124.0,32.0,64.0,96.0,28.0,43.0,14.0,20.0,34.0,9.0,57.0,56.0,1.0,2007
MI-511,Lenawee County CoC,93.0,74.0,11.0,85.0,8.0,45.0,42.0,1.0,43.0,2.0,48.0,32.0,10.0,42.0,6.0,16.0,10.0,4.0,14.0,2.0,20.0,19.0,1.0,2007
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",241.0,98.0,118.0,216.0,25.0,165.0,80.0,60.0,140.0,25.0,76.0,18.0,58.0,76.0,0.0,26.0,6.0,20.0,26.0,0.0,55.0,36.0,19.0,2007
MI-514,Battle Creek/Calhoun County CoC,205.0,58.0,59.0,117.0,88.0,140.0,18.0,42.0,60.0,80.0,65.0,40.0,17.0,57.0,8.0,21.0,14.0,3.0,17.0,4.0,41.0,36.0,5.0,2007
MI-515,Monroe City & County CoC,142.0,84.0,47.0,131.0,11.0,109.0,51.0,47.0,98.0,11.0,33.0,33.0,0.0,33.0,0.0,12.0,12.0,0.0,12.0,0.0,16.0,6.0,10.0,2007
MI-516,"Norton Shores, Muskegon City & County CoC",332.0,84.0,63.0,147.0,185.0,152.0,56.0,44.0,100.0,52.0,180.0,28.0,19.0,47.0,133.0,82.0,13.0,7.0,20.0,62.0,75.0,21.0,54.0,2007
MI-517,Jackson City & County CoC,463.0,83.0,199.0,282.0,181.0,186.0,56.0,19.0,75.0,111.0,277.0,27.0,180.0,207.0,70.0,123.0,12.0,90.0,102.0,21.0,23.0,0.0,23.0,2007
MI-518,Livingston County CoC,63.0,23.0,35.0,58.0,5.0,25.0,15.0,5.0,20.0,5.0,38.0,8.0,30.0,38.0,0.0,13.0,3.0,10.0,13.0,0.0,4.0,3.0,1.0,2007
