CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
MI-519,Holland/Ottawa County CoC,319.0,142.0,164.0,306.0,13.0,109.0,75.0,31.0,106.0,3.0,210.0,67.0,133.0,200.0,10.0,66.0,17.0,45.0,62.0,4.0,3.0,0.0,3.0,2007
MI-523,Eaton County CoC,197.0,46.0,59.0,105.0,92.0,37.0,1.0,1.0,2.0,35.0,160.0,45.0,58.0,103.0,57.0,43.0,13.0,13.0,26.0,17.0,3.0,2.0,1.0,2007
MN-500,Minneapolis/Hennepin County CoC,2984.0,1601.0,827.0,2428.0,556.0,1511.0,649.0,342.0,991.0,520.0,1473.0,952.0,485.0,1437.0,36.0,479.0,263.0,204.0,467.0,12.0,763.0,567.0,196.0,2007
MN-501,Saint Paul/Ramsey County CoC,1294.0,496.0,674.0,1170.0,124.0,618.0,315.0,188.0,503.0,115.0,676.0,181.0,486.0,667.0,9.0,216.0,66.0,147.0,213.0,3.0,240.0,189.0,51.0,2007
MN-502,Rochester/Southeast Minnesota CoC,446.0,154.0,259.0,413.0,33.0,143.0,87.0,40.0,127.0,16.0,303.0,67.0,219.0,286.0,17.0,1191.0,23.0,1161.0,1184.0,7.0,32.0,26.0,6.0,2007
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",800.0,130.0,534.0,664.0,136.0,141.0,24.0,71.0,95.0,46.0,659.0,106.0,463.0,569.0,90.0,210.0,35.0,151.0,186.0,24.0,39.0,19.0,20.0,2007
MN-504,Northeast Minnesota CoC,232.0,42.0,74.0,116.0,116.0,76.0,10.0,6.0,16.0,60.0,156.0,32.0,68.0,100.0,56.0,49.0,11.0,20.0,31.0,18.0,27.0,7.0,20.0,2007
MN-505,St. Cloud/Central Minnesota CoC,389.0,201.0,112.0,313.0,76.0,187.0,104.0,40.0,144.0,43.0,202.0,97.0,72.0,169.0,33.0,71.0,34.0,26.0,60.0,11.0,69.0,33.0,36.0,2007
MN-506,Northwest Minnesota CoC,266.0,72.0,163.0,235.0,31.0,114.0,34.0,57.0,91.0,23.0,152.0,38.0,106.0,144.0,8.0,55.0,11.0,41.0,52.0,3.0,45.0,34.0,11.0,2007
MN-508,Moorhead/West Central Minnesota CoC,242.0,87.0,78.0,165.0,77.0,144.0,50.0,25.0,75.0,69.0,98.0,37.0,53.0,90.0,8.0,35.0,10.0,21.0,31.0,4.0,82.0,49.0,33.0,2007
MN-509,Duluth/St.Louis County CoC,501.0,82.0,212.0,294.0,207.0,270.0,56.0,49.0,105.0,165.0,231.0,26.0,163.0,189.0,42.0,75.0,9.0,54.0,63.0,12.0,105.0,35.0,70.0,2007
MN-511,Southwest Minnesota CoC,169.0,34.0,46.0,80.0,89.0,65.0,14.0,20.0,34.0,31.0,104.0,20.0,26.0,46.0,58.0,30.0,7.0,7.0,14.0,16.0,12.0,8.0,4.0,2007
MO-500,St. Louis County CoC,336.0,222.0,68.0,290.0,46.0,90.0,50.0,0.0,50.0,40.0,246.0,172.0,68.0,240.0,6.0,69.0,50.0,17.0,67.0,2.0,44.0,18.0,26.0,2007
MO-501,St.Louis City CoC,1386.0,627.0,546.0,1173.0,213.0,800.0,443.0,144.0,587.0,213.0,586.0,184.0,402.0,586.0,0.0,196.0,77.0,119.0,196.0,0.0,258.0,238.0,20.0,2007
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",498.0,138.0,89.0,227.0,271.0,222.0,79.0,34.0,113.0,109.0,276.0,59.0,55.0,114.0,162.0,110.0,25.0,21.0,46.0,64.0,38.0,15.0,23.0,2007
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",518.0,222.0,256.0,478.0,40.0,326.0,73.0,213.0,286.0,40.0,192.0,149.0,43.0,192.0,0.0,65.0,49.0,16.0,65.0,0.0,94.0,76.0,18.0,2007
MO-602,"Joplin/Jasper, Newton Counties CoC",306.0,65.0,233.0,298.0,8.0,219.0,58.0,153.0,211.0,8.0,87.0,7.0,80.0,87.0,0.0,30.0,3.0,27.0,30.0,0.0,21.0,13.0,8.0,2007
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",100.0,100.0,0.0,100.0,0.0,65.0,65.0,0.0,65.0,0.0,35.0,35.0,0.0,35.0,0.0,10.0,10.0,0.0,10.0,0.0,49.0,49.0,0.0,2007
MO-604a,"Kansas City, Independence, Leeâ€™s Summit/Jackson, Wyandotte Counties, MO & KS",1786.0,877.0,698.0,1575.0,211.0,947.0,525.0,239.0,764.0,183.0,839.0,352.0,459.0,811.0,28.0,246.0,103.0,136.0,239.0,7.0,495.0,382.0,113.0,2007
MO-606,Missouri Balance of State CoC,1504.0,779.0,347.0,1126.0,378.0,794.0,391.0,169.0,560.0,234.0,710.0,388.0,178.0,566.0,144.0,262.0,134.0,62.0,196.0,66.0,245.0,136.0,109.0,2007
MS-500,"Jackson/Rankin, Madison Counties CoC",718.0,132.0,308.0,440.0,278.0,626.0,104.0,244.0,348.0,278.0,92.0,28.0,64.0,92.0,0.0,27.0,9.0,18.0,27.0,0.0,372.0,94.0,278.0,2007
MS-501,Mississippi Balance of State CoC,385.0,131.0,213.0,344.0,41.0,233.0,84.0,108.0,192.0,41.0,152.0,47.0,105.0,152.0,0.0,42.0,11.0,31.0,42.0,0.0,99.0,70.0,29.0,2007
MS-503,Gulf Port/Gulf Coast Regional CoC,274.0,40.0,27.0,67.0,207.0,256.0,29.0,24.0,53.0,203.0,18.0,11.0,3.0,14.0,4.0,7.0,4.0,1.0,5.0,2.0,122.0,5.0,117.0,2007
MT-500,Montana Statewide CoC,1150.0,502.0,353.0,855.0,295.0,633.0,270.0,128.0,398.0,235.0,517.0,232.0,225.0,457.0,60.0,166.0,75.0,75.0,150.0,16.0,83.0,35.0,48.0,2007
NC-500,Winston-Salem/Forsyth County CoC,503.0,354.0,125.0,479.0,24.0,366.0,298.0,44.0,342.0,24.0,137.0,56.0,81.0,137.0,0.0,47.0,17.0,30.0,47.0,0.0,122.0,98.0,24.0,2007
NC-501,Asheville/Buncombe County CoC,635.0,167.0,281.0,448.0,187.0,542.0,128.0,227.0,355.0,187.0,93.0,39.0,54.0,93.0,0.0,34.0,14.0,20.0,34.0,0.0,105.0,22.0,83.0,2007
NC-502,Durham City & County CoC,539.0,328.0,174.0,502.0,37.0,436.0,262.0,137.0,399.0,37.0,103.0,66.0,37.0,103.0,0.0,31.0,19.0,12.0,31.0,0.0,95.0,58.0,37.0,2007
NC-503,North Carolina Balance of State CoC,2610.0,1100.0,452.0,1552.0,1058.0,1436.0,624.0,214.0,838.0,598.0,1174.0,476.0,238.0,714.0,460.0,346.0,153.0,68.0,221.0,125.0,277.0,171.0,106.0,2007
NC-504,"Greensboro, High Point CoC",1182.0,502.0,478.0,980.0,202.0,878.0,355.0,337.0,692.0,186.0,304.0,147.0,141.0,288.0,16.0,101.0,50.0,46.0,96.0,5.0,212.0,142.0,70.0,2007
NC-505,Charlotte/Mecklenberg CoC,1976.0,849.0,799.0,1648.0,328.0,1564.0,648.0,591.0,1239.0,325.0,412.0,201.0,208.0,409.0,3.0,142.0,69.0,72.0,141.0,1.0,222.0,137.0,85.0,2007
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",628.0,305.0,114.0,419.0,209.0,459.0,271.0,69.0,340.0,119.0,169.0,34.0,45.0,79.0,90.0,70.0,11.0,17.0,28.0,42.0,206.0,87.0,119.0,2007
NC-507,Raleigh/Wake County CoC,1043.0,591.0,382.0,973.0,70.0,705.0,436.0,199.0,635.0,70.0,338.0,155.0,183.0,338.0,0.0,110.0,47.0,63.0,110.0,0.0,79.0,68.0,11.0,2007
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",652.0,155.0,59.0,214.0,438.0,568.0,107.0,44.0,151.0,417.0,84.0,48.0,15.0,63.0,21.0,32.0,18.0,6.0,24.0,8.0,155.0,4.0,151.0,2007
NC-511,Fayetteville/Cumberland County CoC,757.0,174.0,139.0,313.0,444.0,445.0,149.0,19.0,168.0,277.0,312.0,25.0,120.0,145.0,167.0,103.0,10.0,34.0,44.0,59.0,49.0,19.0,30.0,2007
NC-513,Chapel Hill/Orange County CoC,208.0,119.0,64.0,183.0,25.0,148.0,109.0,18.0,127.0,21.0,60.0,10.0,46.0,56.0,4.0,23.0,4.0,18.0,22.0,1.0,46.0,36.0,10.0,2007
NC-516,Northwest North Carolina CoC,1069.0,101.0,67.0,168.0,901.0,844.0,50.0,57.0,107.0,737.0,225.0,51.0,10.0,61.0,164.0,160.0,21.0,3.0,24.0,136.0,77.0,4.0,73.0,2007
ND-500,North Dakota Statewide CoC,636.0,405.0,172.0,577.0,59.0,403.0,252.0,127.0,379.0,24.0,233.0,153.0,45.0,198.0,35.0,70.0,45.0,16.0,61.0,9.0,80.0,71.0,9.0,2007
NE-500,Nebraska Balance of State CoC,695.0,316.0,221.0,537.0,158.0,298.0,156.0,73.0,229.0,69.0,397.0,160.0,148.0,308.0,89.0,142.0,50.0,68.0,118.0,24.0,45.0,21.0,24.0,2007
NE-501,"Omaha, Council Bluffs CoC",1870.0,1214.0,418.0,1632.0,238.0,1338.0,859.0,241.0,1100.0,238.0,532.0,355.0,177.0,532.0,0.0,210.0,130.0,80.0,210.0,0.0,615.0,429.0,186.0,2007
NE-502,Lincoln CoC,966.0,268.0,570.0,838.0,128.0,536.0,150.0,258.0,408.0,128.0,430.0,118.0,312.0,430.0,0.0,163.0,65.0,98.0,163.0,0.0,125.0,36.0,89.0,2007
NH-500,New Hampshire Balance of State CoC,1300.0,426.0,343.0,769.0,531.0,665.0,268.0,129.0,397.0,268.0,635.0,158.0,214.0,372.0,263.0,248.0,72.0,77.0,149.0,99.0,137.0,116.0,21.0,2007
NH-501,Manchester CoC,504.0,174.0,133.0,307.0,197.0,345.0,148.0,24.0,172.0,173.0,159.0,26.0,109.0,135.0,24.0,62.0,10.0,37.0,47.0,15.0,135.0,112.0,23.0,2007
NH-502,Nashua/Hillsborough County CoC,444.0,125.0,72.0,197.0,247.0,245.0,56.0,26.0,82.0,163.0,199.0,69.0,46.0,115.0,84.0,70.0,22.0,18.0,40.0,30.0,95.0,35.0,60.0,2007
NJ-500,Atlantic City & County CoC,514.0,406.0,19.0,425.0,89.0,358.0,257.0,15.0,272.0,86.0,156.0,149.0,4.0,153.0,3.0,52.0,50.0,1.0,51.0,1.0,138.0,84.0,54.0,2007
NJ-501,Bergen County CoC,1392.0,299.0,911.0,1210.0,182.0,623.0,138.0,369.0,507.0,116.0,769.0,161.0,542.0,703.0,66.0,313.0,63.0,225.0,288.0,25.0,65.0,23.0,42.0,2007
NJ-502,Burlington County CoC,896.0,613.0,167.0,780.0,116.0,610.0,393.0,115.0,508.0,102.0,286.0,220.0,52.0,272.0,14.0,152.0,112.0,33.0,145.0,7.0,218.0,187.0,31.0,2007
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",1433.0,896.0,228.0,1124.0,309.0,1005.0,577.0,162.0,739.0,266.0,428.0,319.0,66.0,385.0,43.0,194.0,148.0,32.0,180.0,14.0,214.0,105.0,109.0,2007
NJ-504,Newark/Essex County CoC,2326.0,1269.0,637.0,1906.0,420.0,1409.0,872.0,208.0,1080.0,329.0,917.0,397.0,429.0,826.0,91.0,369.0,174.0,159.0,333.0,36.0,379.0,182.0,197.0,2007
NJ-506,"Jersey City, Bayonne/Hudson County CoC",2842.0,2238.0,440.0,2678.0,164.0,891.0,613.0,114.0,727.0,164.0,1951.0,1625.0,326.0,1951.0,0.0,730.0,614.0,116.0,730.0,0.0,414.0,293.0,121.0,2007
NJ-507,New Brunswick/Middlesex County CoC,996.0,476.0,252.0,728.0,268.0,722.0,323.0,155.0,478.0,244.0,274.0,153.0,97.0,250.0,24.0,98.0,51.0,42.0,93.0,5.0,245.0,164.0,81.0,2007
NJ-508,Monmouth County CoC,830.0,525.0,232.0,757.0,73.0,442.0,332.0,49.0,381.0,61.0,388.0,193.0,183.0,376.0,12.0,175.0,98.0,72.0,170.0,5.0,90.0,40.0,50.0,2007
NJ-509,Morris County CoC,292.0,125.0,104.0,229.0,63.0,152.0,40.0,49.0,89.0,63.0,140.0,85.0,55.0,140.0,0.0,56.0,34.0,22.0,56.0,0.0,91.0,28.0,63.0,2007
NJ-510,Lakewood Township/Ocean County CoC,424.0,334.0,47.0,381.0,43.0,257.0,197.0,17.0,214.0,43.0,167.0,137.0,30.0,167.0,0.0,75.0,61.0,14.0,75.0,0.0,44.0,21.0,23.0,2007
NJ-511,Paterson/Passaic County CoC,1062.0,677.0,154.0,831.0,231.0,378.0,258.0,17.0,275.0,103.0,684.0,419.0,137.0,556.0,128.0,187.0,104.0,49.0,153.0,34.0,194.0,152.0,42.0,2007
NJ-512,Salem County CoC,465.0,298.0,156.0,454.0,11.0,251.0,141.0,99.0,240.0,11.0,214.0,157.0,57.0,214.0,0.0,84.0,56.0,28.0,84.0,0.0,15.0,6.0,9.0,2007
NJ-513,Somerset County CoC,366.0,181.0,162.0,343.0,23.0,219.0,93.0,103.0,196.0,23.0,147.0,88.0,59.0,147.0,0.0,57.0,36.0,21.0,57.0,0.0,24.0,13.0,11.0,2007
NJ-514,Trenton/Mercer County CoC,1598.0,949.0,293.0,1242.0,356.0,840.0,535.0,94.0,629.0,211.0,758.0,414.0,199.0,613.0,145.0,271.0,145.0,78.0,223.0,48.0,194.0,124.0,70.0,2007
NJ-515,Elizabeth/Union County CoC,1188.0,347.0,725.0,1072.0,116.0,423.0,190.0,129.0,319.0,104.0,765.0,157.0,596.0,753.0,12.0,272.0,41.0,229.0,270.0,2.0,79.0,46.0,33.0,2007
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",690.0,462.0,214.0,676.0,14.0,392.0,274.0,106.0,380.0,12.0,298.0,188.0,108.0,296.0,2.0,116.0,74.0,41.0,115.0,1.0,121.0,114.0,7.0,2007
NM-500,Albuquerque CoC,1276.0,473.0,516.0,989.0,287.0,821.0,402.0,204.0,606.0,215.0,455.0,71.0,312.0,383.0,72.0,147.0,24.0,100.0,124.0,23.0,159.0,78.0,81.0,2007
NM-501,New Mexico Balance of State CoC,1739.0,485.0,274.0,759.0,980.0,1040.0,341.0,116.0,457.0,583.0,699.0,144.0,158.0,302.0,397.0,220.0,48.0,54.0,102.0,118.0,552.0,167.0,385.0,2007
NV-500,Las Vegas/Clark County CoC,7533.0,976.0,2868.0,3844.0,3689.0,5624.0,900.0,2002.0,2902.0,2722.0,1909.0,76.0,866.0,942.0,967.0,606.0,30.0,255.0,285.0,321.0,808.0,174.0,634.0,2007
NV-501,"Reno, Sparks/Washoe County CoC",863.0,420.0,345.0,765.0,98.0,742.0,379.0,268.0,647.0,95.0,121.0,41.0,77.0,118.0,3.0,40.0,16.0,23.0,39.0,1.0,33.0,0.0,33.0,2007
NV-502,Nevada Balance of State CoC,246.0,132.0,77.0,209.0,37.0,111.0,74.0,16.0,90.0,21.0,135.0,58.0,61.0,119.0,16.0,54.0,22.0,27.0,49.0,5.0,30.0,17.0,13.0,2007
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",612.0,391.0,211.0,602.0,10.0,337.0,241.0,86.0,327.0,10.0,275.0,150.0,125.0,275.0,0.0,87.0,47.0,40.0,87.0,0.0,81.0,71.0,10.0,2007
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",175.0,41.0,133.0,174.0,1.0,139.0,24.0,114.0,138.0,1.0,36.0,17.0,19.0,36.0,0.0,11.0,5.0,6.0,11.0,0.0,5.0,4.0,1.0,2007
NY-503,Albany City & County CoC,619.0,420.0,119.0,539.0,80.0,396.0,235.0,96.0,331.0,65.0,223.0,185.0,23.0,208.0,15.0,68.0,53.0,11.0,64.0,4.0,68.0,24.0,44.0,2007
NY-504,Cattaragus County CoC,142.0,38.0,66.0,104.0,38.0,95.0,31.0,36.0,67.0,28.0,47.0,7.0,30.0,37.0,10.0,13.0,3.0,8.0,11.0,2.0,0.0,0.0,0.0,2007
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",795.0,309.0,453.0,762.0,33.0,634.0,253.0,364.0,617.0,17.0,161.0,56.0,89.0,145.0,16.0,61.0,21.0,35.0,56.0,5.0,74.0,66.0,8.0,2007
NY-507,Schenectady City & County CoC,288.0,172.0,37.0,209.0,79.0,156.0,76.0,16.0,92.0,64.0,132.0,96.0,21.0,117.0,15.0,51.0,39.0,7.0,46.0,5.0,35.0,29.0,6.0,2007
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",1377.0,616.0,587.0,1203.0,174.0,929.0,456.0,299.0,755.0,174.0,448.0,160.0,288.0,448.0,0.0,131.0,41.0,90.0,131.0,0.0,207.0,83.0,124.0,2007
NY-510,Ithaca/Tompkins County CoC,78.0,38.0,24.0,62.0,16.0,46.0,30.0,0.0,30.0,16.0,32.0,8.0,24.0,32.0,0.0,10.0,2.0,8.0,10.0,0.0,8.0,6.0,2.0,2007
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",243.0,64.0,139.0,203.0,40.0,212.0,60.0,117.0,177.0,35.0,31.0,4.0,22.0,26.0,5.0,11.0,2.0,7.0,9.0,2.0,69.0,46.0,23.0,2007
NY-512,Troy/Rensselaer County CoC,212.0,127.0,39.0,166.0,46.0,79.0,24.0,17.0,41.0,38.0,133.0,103.0,22.0,125.0,8.0,50.0,36.0,11.0,47.0,3.0,31.0,15.0,16.0,2007
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",98.0,98.0,0.0,98.0,0.0,47.0,47.0,0.0,47.0,0.0,51.0,51.0,0.0,51.0,0.0,16.0,16.0,0.0,16.0,0.0,3.0,3.0,0.0,2007
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",75.0,16.0,51.0,67.0,8.0,26.0,7.0,11.0,18.0,8.0,49.0,9.0,40.0,49.0,0.0,23.0,3.0,20.0,23.0,0.0,0.0,0.0,0.0,2007
NY-516,Clinton County CoC,53.0,42.0,6.0,48.0,5.0,50.0,42.0,3.0,45.0,5.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,7.0,1.0,2007
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",334.0,185.0,133.0,318.0,16.0,193.0,129.0,48.0,177.0,16.0,141.0,56.0,85.0,141.0,0.0,44.0,22.0,22.0,44.0,0.0,21.0,10.0,11.0,2007
NY-519,"Columbia, Greene Counties CoC",325.0,262.0,49.0,311.0,14.0,140.0,84.0,44.0,128.0,12.0,185.0,178.0,5.0,183.0,2.0,70.0,67.0,2.0,69.0,1.0,12.0,8.0,4.0,2007
NY-520,"Franklin, Essex Counties CoC",28.0,27.0,0.0,27.0,1.0,20.0,19.0,0.0,19.0,1.0,8.0,8.0,0.0,8.0,0.0,4.0,4.0,0.0,4.0,0.0,3.0,3.0,0.0,2007
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",255.0,106.0,40.0,146.0,109.0,182.0,54.0,32.0,86.0,96.0,73.0,52.0,8.0,60.0,13.0,24.0,17.0,3.0,20.0,4.0,40.0,10.0,30.0,2007
NY-600,New York City CoC,50372.0,38642.0,7975.0,46617.0,3755.0,21357.0,12660.0,4942.0,17602.0,3755.0,29015.0,25982.0,3033.0,29015.0,0.0,9430.0,8461.0,969.0,9430.0,0.0,5233.0,1853.0,3380.0,2007
NY-601,Poughkeepsie/Dutchess County CoC,547.0,219.0,244.0,463.0,84.0,288.0,114.0,119.0,233.0,55.0,259.0,105.0,125.0,230.0,29.0,93.0,34.0,49.0,83.0,10.0,134.0,88.0,46.0,2007
NY-602,"Newburgh, Middletown/Orange County CoC",414.0,182.0,45.0,227.0,187.0,301.0,118.0,0.0,118.0,183.0,113.0,64.0,45.0,109.0,4.0,31.0,14.0,16.0,30.0,1.0,137.0,0.0,137.0,2007
NY-603,"Nassau, Suffolk Counties CoC",2509.0,1851.0,500.0,2351.0,158.0,789.0,377.0,254.0,631.0,158.0,1720.0,1474.0,246.0,1720.0,0.0,534.0,467.0,67.0,534.0,0.0,52.0,37.0,15.0,2007
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1829.0,514.0,1179.0,1693.0,136.0,690.0,396.0,158.0,554.0,136.0,1139.0,118.0,1021.0,1139.0,0.0,365.0,38.0,327.0,365.0,0.0,140.0,43.0,97.0,2007
NY-606,Rockland County CoC,488.0,37.0,398.0,435.0,53.0,446.0,13.0,380.0,393.0,53.0,42.0,24.0,18.0,42.0,0.0,19.0,12.0,7.0,19.0,0.0,34.0,0.0,34.0,2007
NY-607,Sullivan County CoC,343.0,178.0,89.0,267.0,76.0,226.0,70.0,89.0,159.0,67.0,117.0,108.0,0.0,108.0,9.0,57.0,54.0,0.0,54.0,3.0,32.0,0.0,32.0,2007
NY-608,Kingston/Ulster County CoC,359.0,111.0,47.0,158.0,201.0,247.0,52.0,39.0,91.0,156.0,112.0,59.0,8.0,67.0,45.0,41.0,26.0,2.0,28.0,13.0,49.0,7.0,42.0,2007
NY-609,Putnam County CoC,31.0,0.0,31.0,31.0,0.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
OH-500,Cincinnati/Hamilton County CoC,1046.0,644.0,343.0,987.0,59.0,720.0,452.0,209.0,661.0,59.0,326.0,192.0,134.0,326.0,0.0,95.0,55.0,40.0,95.0,0.0,226.0,204.0,22.0,2007
OH-501,Toledo/Lucas County CoC,745.0,317.0,314.0,631.0,114.0,424.0,199.0,120.0,319.0,105.0,321.0,118.0,194.0,312.0,9.0,133.0,54.0,75.0,129.0,4.0,200.0,95.0,105.0,2007
OH-502,Cleveland/Cuyahoga County CoC,2185.0,1271.0,730.0,2001.0,184.0,1686.0,1007.0,510.0,1517.0,169.0,499.0,264.0,220.0,484.0,15.0,166.0,81.0,80.0,161.0,5.0,652.0,540.0,112.0,2007
OH-503,Columbus/Franklin County CoC,1373.0,1130.0,129.0,1259.0,114.0,941.0,727.0,100.0,827.0,114.0,432.0,403.0,29.0,432.0,0.0,135.0,126.0,9.0,135.0,0.0,503.0,400.0,103.0,2007
OH-504,Youngstown/Mahoning County CoC,249.0,96.0,136.0,232.0,17.0,121.0,67.0,37.0,104.0,17.0,128.0,29.0,99.0,128.0,0.0,44.0,10.0,34.0,44.0,0.0,28.0,23.0,5.0,2007
OH-505,"Dayton, Kettering/Montgomery County CoC",785.0,539.0,180.0,719.0,66.0,504.0,336.0,102.0,438.0,66.0,281.0,203.0,78.0,281.0,0.0,101.0,69.0,32.0,101.0,0.0,120.0,78.0,42.0,2007
OH-506,"Akron, Barberton/Summit County CoC",824.0,284.0,348.0,632.0,192.0,575.0,227.0,187.0,414.0,161.0,249.0,57.0,161.0,218.0,31.0,80.0,21.0,52.0,73.0,7.0,215.0,71.0,144.0,2007
OH-507,Ohio Balance of State CoC,3521.0,1180.0,1318.0,2498.0,1023.0,1616.0,688.0,436.0,1124.0,492.0,1905.0,492.0,882.0,1374.0,531.0,788.0,269.0,311.0,580.0,208.0,315.0,166.0,149.0,2007
